age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
forty-seven,no,non-travel,1032.49,research & development,25,3,medical,32,1,m,129.06125,3,3,healthcare representative,3,unknown,8339.32,21682.23,2,unknown,23,4.0,2,full time,0,25.0,3,3.0,17,12,11,1976,100071.84,yes
53,no,travel_rarely,1973.98,unknown,5,3,,33,3,f,246.75,3,5,manager,3,unknown,15943.72,41453.67,4,unknown,11,3.0,4,full time,1,26.0,3,2.0,14,4,8,1970,191324.62,yes
35,no,non-travel,556.26,sales,1,4,marketing,34,3,m,69.53,2,2,sales executive,1,single,4492.84,11681.39,0,no,14,,2,part time,0,16.0,2,3.0,15,2,8,1988,53914.11,0
34,no,travel_rarely,556.26,research & development,6,4,other,35,1,f,69.5325,3,2,research scientist,3,single,4492.84,11681.39,1,unknown,14,3.0,3,full time,0,16.0,3,3.0,16,2,10,1989,53914.08,true
46,no,travel_rarely,1032.49,sales,1,2,,36,2,f,129.06125,3,3,sales executive,1,divorced,8339.32,21682.23,1,no,25,4.0,3,part time,3,24.0,2,3.0,24,15,7,1977,100071.84,yes
43,no,non-travel,1657.4,unknown,16,3,,37,4,f,207.17,3,4,manager,4,married,13386.666666666666,34805.33,5,unknown,22,4.0,3,full time,1,22.0,3,3.0,17,1,9,1980,160640.0,1
36,no,non-travel,331.19,research & development,6,3,life sciences,38,4,m,41.39875,3,1,laboratory technician,4,married,2675.0,6955.0,0,unknown,11,3.0,3,full time,1,16.0,4,3.0,15,10,11,1987,32100.0,true
60,no,travel_frequently,1059.19,sales,28,3,,39,3,f,132.39875,2,3,sales executive,1,married,8555.0,22243.0,4,no,19,3.0,4,full time,0,22.0,5,4.0,18,13,11,1963,102660.0,1
40,no,travel_frequently,1080.75,sales,5,4,,40,4,m,135.09375,2,3,sales executive,1,married,8729.17,22695.83,5,yes,21,4.0,3,full time,1,20.0,2,3.0,18,1,12,1983,104750.0,0
32,no,travel_rarely,635.76,research & development,4,3,,41,3,f,79.47,2,2,manufacturing director,3,married,5135.0,13351.0,1,no,12,3.0,3,full time,1,14.0,3,3.0,14,6,8,1991,61620.0,0
41,no,travel_rarely,487.09,research & development,-35,3,,42,35,m,60.89,3,1,laboratory technician,1,single,3934.17,10228.83,2,yes,13,,3,full time,0,20.0,3,3.0,18,2,17,1982,47210.0,1
53,no,non-travel,1582.77,unknown,2,2,medical,43,3,m,197.84625,3,4,manager,3,divorced,12783.92,33238.2,6,no,13,3.0,3,full time,1,22.0,3,4.0,17,15,2,1970,153407.07,false
36,yes,travel_rarely,290.04,research & development,16,4,,44,3,f,36.25,4,1,laboratory technician,1,single,2342.5941666666668,6090.75,1,unknown,16,3.0,3,part time,0,18.0,1,3.0,17,15,14,1987,28111.13,yes
46,no,non-travel,476.15,research & development,8,4,life sciences,45,4,f,59.51875,2,2,research scientist,1,divorced,3845.83,9999.17,8,yes,23,4.0,1,part time,3,,2,3.0,16,1,7,1977,46150.0,0
38,no,travel_rarely,556.26,sales,1,4,,46,4,m,69.5325,3,2,sales executive,2,married,4492.84,11681.39,0,no,15,3.0,1,full time,2,16.0,3,,15,5,8,1985,53914.11,1
51,no,non-travel,1032.49,research & development,1,4,,47,1,f,129.06125,2,3,healthcare representative,1,single,8339.32,21682.23,3,unknown,20,4.0,3,part time,0,23.0,1,2.0,13,12,8,1972,100071.84,true
43,no,non-travel,1749.74,unknown,26,2,,48,3,m,218.7175,3,4,manager,4,married,14132.5,36744.5,1,yes,12,3.0,4,full time,2,25.0,3,4.0,25,4,12,1980,169590.0,1
37,no,non-travel,290.04,research & development,1,3,life sciences,49,4,f,36.255,3,1,research scientist,4,single,2342.5941666666668,6090.75,1,no,12,3.0,2,part time,0,,3,3.0,17,5,7,1986,28111.13,yes
32,no,travel_rarely,556.26,sales,8,2,technical degree,50,3,f,69.5325,2,2,sales executive,2,married,4492.8425,11681.39,1,yes,11,3.0,4,part time,0,,2,3.0,13,11,9,1991,53914.11,true
38,no,non-travel,1032.49,research & development,1,3,,51,4,f,129.06125,3,3,research director,1,married,8339.32,21682.23,1,unknown,13,3.0,2,part time,1,15.0,3,3.0,15,5,11,1985,100071.84,false
46,no,non-travel,1582.77,unknown,3,3,life sciences,52,3,f,197.84625,3,4,manager,2,unknown,12783.92,33238.2,8,no,12,3.0,4,full time,1,23.0,2,4.0,13,5,1,1977,153407.07,yes
35,yes,travel_rarely,1063.32,sales,10,3,medical,53,4,m,132.915,2,3,sales executive,1,married,8588.33,22329.67,9,unknown,17,3.0,3,full time,0,15.0,3,,13,6,0,1988,103059.95999999999,0
43,no,non-travel,1973.98,unknown,6,3,medical,54,1,f,246.7475,2,5,manager,3,married,15943.72,41453.67,7,no,13,3.0,4,full time,0,21.0,2,3.0,16,6,14,1980,191324.63999999998,yes
56,no,non-travel,556.26,research & development,1,4,life sciences,55,3,m,69.5325,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,no,21,,1,full time,1,,2,2.0,13,1,9,1967,53914.08,yes
36,no,non-travel,557.76,sales,15,4,marketing,56,4,m,69.72,1,2,sales executive,4,divorced,4505.0,11713.0,1,no,24,4.0,1,full time,1,,4,2.0,15,11,11,1987,54060.0,1
38,no,non-travel,556.26,research & development,6,3,medical,57,2,f,69.5325,1,2,research scientist,4,unknown,4492.8425,11681.39,7,unknown,12,3.0,4,part time,3,17.0,3,3.0,13,1,9,1985,53914.11,yes
49,no,non-travel,556.26,research & development,-26,4,medical,58,3,f,69.53,3,2,manufacturing director,1,unknown,4492.8425,11681.39,1,no,14,3.0,3,part time,0,16.0,2,2.0,15,5,11,1974,53914.11,0
39,no,travel_rarely,608.94,sales,4,4,life sciences,59,4,f,76.1175,2,2,sales executive,3,married,4918.33,12787.67,4,unknown,14,3.0,3,full time,1,17.0,1,4.0,15,5,9,1984,59020.0,yes
40,no,non-travel,1119.96,sales,4,4,,60,3,m,140.0,2,3,sales executive,4,married,9045.833333333334,23519.17,7,no,11,,1,full time,1,15.0,2,2.0,12,2,11,1983,108550.0,yes
36,no,non-travel,610.17,research & development,5,2,,61,4,m,76.27125,3,2,laboratory technician,2,single,4928.33,12813.67,8,no,16,3.0,4,full time,0,16.0,3,4.0,13,3,7,1987,59140.0,1
37,no,non-travel,556.26,research & development,25,5,,62,2,f,69.5325,3,2,research scientist,3,married,4492.8425,11681.39,3,yes,15,3.0,1,full time,2,15.0,2,3.0,13,10,7,1986,53914.11,0
35,no,non-travel,685.7,research & development,6,4,,63,2,m,85.7125,1,2,research scientist,4,unknown,5538.33,14399.67,1,unknown,13,3.0,2,full time,0,,3,3.0,17,11,8,1988,66460.0,yes
33,no,travel_frequently,556.26,research & development,6,3,life sciences,64,3,m,69.5325,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,no,23,4.0,3,part time,1,15.0,2,1.0,13,4,7,1990,53914.11,false
50,no,travel_rarely,1441.66,research & development,24,3,,65,4,m,180.2075,3,4,manufacturing director,3,married,11644.166666666666,30274.83,3,yes,18,3.0,4,full time,1,22.0,2,3.0,12,1,5,1973,139730.0,false
48,no,travel_rarely,1032.49,research & development,4,4,,66,3,m,129.06125,2,3,healthcare representative,3,single,8339.32,21682.23,7,unknown,14,,2,part time,0,27.0,3,3.0,15,4,8,1975,100071.84,yes
44,no,travel_rarely,1374.29,sales,28,3,,67,4,f,171.78625,4,4,sales executive,4,married,11100.0,28860.0,3,unknown,18,3.0,3,full time,1,,2,3.0,12,11,11,1979,133200.0,1
44,no,travel_rarely,556.26,research & development,29,4,,68,4,m,69.53,3,2,research scientist,4,single,4492.8425,11681.39,1,unknown,25,4.0,2,part time,0,,3,3.0,20,13,17,1979,53914.11,yes
40,no,non-travel,556.26,research & development,-25,1,,69,25,f,69.5325,4,2,healthcare representative,3,unknown,4492.8425,11681.39,5,no,20,4.0,2,part time,3,15.0,0,3.0,12,11,8,1983,53914.11,true
34,no,travel_rarely,689.93,research & development,2,4,,70,3,f,86.24,3,2,healthcare representative,4,single,5572.5,14488.5,1,unknown,11,3.0,4,full time,0,14.0,2,4.0,14,4,11,1989,66870.0,true
35,no,non-travel,556.26,research & development,8,4,,71,3,f,69.5325,3,2,healthcare representative,3,unknown,4492.84,11681.39,1,unknown,12,3.0,4,part time,1,,5,3.0,14,2,9,1988,53914.11,true
50,no,non-travel,1032.49,research & development,17,5,life sciences,72,4,f,129.06125,2,3,research director,1,unknown,8339.32,21682.23,5,no,15,3.0,3,part time,3,,3,3.0,14,1,11,1973,100071.84,0
49,no,non-travel,1582.77,research & development,6,1,life sciences,73,3,f,197.85,2,4,healthcare representative,3,unknown,12783.92,33238.2,2,unknown,19,3.0,2,full time,1,,3,3.0,15,2,12,1974,153407.07,yes
38,no,travel_frequently,488.53,research & development,1,3,life sciences,74,4,m,61.07,3,2,research scientist,4,unknown,3945.8333333333335,10259.17,7,no,15,3.0,4,part time,2,19.0,4,,13,2,9,1985,47350.0,true
33,no,non-travel,290.04,research & development,21,3,,75,2,m,36.255,4,1,laboratory technician,2,unknown,2342.5941666666668,6090.75,1,no,18,3.0,4,part time,3,14.0,6,,14,2,13,1990,28111.13,true
47,no,travel_rarely,1032.49,research & development,4,3,life sciences,76,3,f,129.06125,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,yes,12,,3,part time,1,,4,3.0,22,14,10,1976,100071.84,yes
38,no,non-travel,556.26,research & development,8,3,,77,4,f,69.5325,2,2,research scientist,2,divorced,4492.84,11681.39,1,unknown,16,3.0,3,full time,1,20.0,3,3.0,20,0,7,1985,53914.08,0
37,no,travel_rarely,1032.49,research & development,10,3,life sciences,78,3,f,129.06125,4,3,research director,4,unknown,8339.32,21682.23,1,yes,25,4.0,1,part time,1,16.0,2,3.0,16,6,8,1986,100071.84,yes
30,no,non-travel,556.26,research & development,2,3,,79,3,m,69.5325,2,2,healthcare representative,4,married,4492.8425,11681.39,1,no,19,,1,part time,3,11.0,3,3.0,11,10,8,1993,53914.11,yes
fifty-eight,no,travel_rarely,1431.24,sales,-18,4,,80,4,m,178.905,3,4,sales executive,3,single,11560.0,30056.0,0,unknown,13,3.0,3,full time,0,38.0,1,2.0,37,1,8,1965,138720.0,1
34,no,travel_rarely,1032.49,unknown,5,3,,81,3,f,129.06125,2,3,manager,1,single,8339.32,21682.23,2,unknown,12,3.0,4,full time,0,14.0,6,3.0,11,5,8,1989,100071.84,0
58,yes,travel_rarely,1032.49,research & development,23,4,medical,82,4,f,129.06125,3,3,healthcare representative,4,married,8339.32,21682.23,1,unknown,12,3.0,4,part time,1,40.0,3,2.0,40,15,6,1965,100071.84,yes
38,no,non-travel,1032.49,sales,3,3,life sciences,83,1,m,129.06125,3,3,sales executive,3,divorced,8339.32,21682.23,0,unknown,12,3.0,3,full time,2,,6,2.0,16,5,13,1985,100071.84,1
29,no,travel_frequently,1032.49,sales,1,1,,84,2,f,129.06125,3,3,sales executive,4,married,8339.32,21682.23,1,unknown,14,3.0,4,part time,1,11.0,5,3.0,11,4,1,1994,100071.84,true
55,no,travel_rarely,1964.96,unknown,1,3,medical,85,4,m,245.62,3,5,manager,1,single,15870.83,41264.17,0,unknown,14,3.0,3,full time,0,37.0,2,3.0,36,4,13,1968,190450.0,1
41,no,non-travel,1652.34,unknown,-10,4,,86,4,m,206.5425,3,4,manager,2,unknown,13345.83,34699.17,1,unknown,19,3.0,2,full time,0,,2,3.0,22,0,4,1982,160149.96,yes
39,no,travel_rarely,991.82,research & development,1,3,,87,3,m,123.98,4,3,healthcare representative,4,unknown,8010.83,20828.17,0,no,17,,1,part time,3,19.0,5,2.0,18,3,7,1984,96130.0,0
38,no,non-travel,1187.54,research & development,15,2,life sciences,88,3,m,148.44,2,3,research director,4,unknown,9591.666666666666,24938.33,0,unknown,14,3.0,2,full time,1,,3,3.0,11,2,9,1985,115100.0,1
43,no,non-travel,1582.77,research & development,12,3,,89,1,m,197.84625,2,4,research director,2,unknown,12783.92,33238.2,1,no,11,3.0,3,full time,1,,3,,25,3,9,1980,153407.07,true
31,no,non-travel,444.27,research & development,-30,2,,90,2,f,55.53375,3,2,manufacturing director,1,married,3588.33,9329.67,1,no,12,3.0,2,full time,1,13.0,5,1.0,13,3,12,1992,43059.96,yes
50,no,travel_rarely,1758.71,unknown,-27,4,life sciences,91,27,m,219.83875,2,4,manager,3,married,14205.0,36933.0,0,no,15,3.0,2,full time,1,28.0,2,3.0,27,15,7,1973,170460.0,true
35,no,non-travel,1032.49,research & development,25,3,technical degree,92,4,m,129.06,2,3,manufacturing director,2,married,8339.32,21682.23,3,no,16,,1,part time,0,,2,3.0,13,4,8,1988,100071.84,0
47,no,non-travel,522.79,research & development,16,4,,93,3,m,65.34875,4,2,manufacturing director,3,unknown,4222.5,10978.5,1,yes,19,3.0,3,full time,0,20.0,3,,19,2,7,1976,50670.0,yes
35,no,non-travel,1032.49,research & development,25,4,,94,3,f,129.06,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,yes,11,,3,part time,1,,3,2.0,16,10,1,1988,100071.84,1
40,no,travel_rarely,1032.49,research & development,20,4,,95,1,m,129.06,3,3,healthcare representative,4,married,8339.32,21682.23,4,unknown,20,4.0,4,part time,1,14.0,6,3.0,11,11,1,1983,100071.84,1
45,no,non-travel,556.26,sales,9,4,life sciences,96,2,f,69.5325,2,2,sales executive,3,married,4492.84,11681.39,1,unknown,13,3.0,4,part time,1,15.0,2,3.0,15,4,12,1978,53914.11,0
33,no,non-travel,290.04,research & development,9,3,medical,97,1,m,36.255,3,1,research scientist,4,married,2342.5941666666668,6090.75,0,unknown,13,3.0,2,full time,1,15.0,5,3.0,14,4,10,1990,28111.13,false
36,no,travel_frequently,380.92,research & development,3,3,,98,3,m,47.615,3,1,research scientist,2,married,3076.67,7999.33,1,no,12,3.0,3,full time,0,12.0,2,2.0,11,0,7,1987,36920.0,false
45,yes,non-travel,1973.98,unknown,-13,3,marketing,99,1,f,246.75,1,5,manager,2,unknown,15943.72,41453.67,2,yes,16,3.0,1,full time,0,26.0,2,3.0,24,1,11,1978,191324.62,true
51,no,travel_frequently,2047.71,unknown,-27,3,,100,27,m,255.96,3,5,manager,2,unknown,16539.166666666668,43001.83,4,yes,24,,1,full time,1,,5,2.0,29,11,10,1972,198470.0,0
34,no,travel_rarely,238.13,sales,7,2,technical degree,101,2,m,29.76625,3,1,sales representative,3,unknown,1923.3333333333333,5000.67,0,yes,25,4.0,2,part time,1,12.0,4,3.0,11,5,7,1989,23080.0,0
43,no,travel_rarely,1582.77,research & development,15,2,,102,3,m,197.84625,2,4,research director,3,unknown,12783.9225,33238.2,1,no,24,4.0,1,full time,1,,3,3.0,14,6,11,1980,153407.07,1
34,no,non-travel,556.26,research & development,5,2,medical,103,2,m,69.5325,2,2,laboratory technician,4,unknown,4492.84,11681.39,1,no,14,3.0,3,part time,1,,3,,15,4,13,1989,53914.11,0
38,no,non-travel,290.04,human resources,2,3,,104,1,m,36.255,3,1,human resources,2,divorced,2342.59,6090.75,5,no,13,3.0,4,part time,3,13.0,3,3.0,11,3,8,1985,28111.13,1
48,no,non-travel,1973.98,research & development,10,3,,105,4,m,246.7475,2,5,research director,2,unknown,15943.718333333332,41453.67,4,no,12,3.0,4,full time,0,29.0,3,3.0,22,12,9,1975,191324.62,0
34,no,non-travel,592.94,research & development,22,4,other,106,3,m,74.1175,2,2,research scientist,4,married,4789.17,12451.83,1,yes,15,3.0,2,full time,0,16.0,3,3.0,15,6,11,1989,57470.0,false
32,no,travel_rarely,1075.29,sales,-31,4,,107,31,f,134.41,3,3,sales executive,4,unknown,8685.0,22581.0,1,no,19,3.0,3,full time,2,14.0,3,3.0,14,5,7,1991,104220.0,yes
29,no,travel_rarely,1032.49,research & development,21,4,life sciences,108,2,f,129.06125,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,no,11,3.0,3,full time,1,10.0,1,3.0,10,8,8,1994,100071.84,0
46,no,non-travel,1032.49,research & development,1,3,medical,109,3,m,129.06125,2,3,healthcare representative,1,married,8339.32,21682.23,2,yes,13,3.0,3,full time,1,21.0,5,2.0,10,9,5,1977,100071.84,false
30,no,non-travel,654.85,human resources,9,3,,110,3,m,81.85625,3,2,human resources,4,married,5289.17,13751.83,0,yes,19,3.0,4,full time,0,,2,1.0,11,4,7,1993,63470.0,0
45,no,non-travel,242.25,research & development,9,3,life sciences,111,2,m,30.28125,3,2,laboratory technician,2,unknown,1956.67,5087.33,8,no,18,3.0,3,part time,1,20.0,2,,17,0,15,1978,23480.0,yes
30,no,travel_rarely,1032.49,sales,5,3,,112,2,f,129.06,3,3,sales executive,4,unknown,8339.32,21682.23,2,no,12,3.0,3,part time,1,,2,3.0,10,7,4,1993,100071.84,true
30,no,non-travel,316.95,research & development,9,3,,113,3,m,39.61875,3,2,laboratory technician,1,unknown,2560.0,6656.0,1,no,11,,3,part time,2,12.0,4,3.0,12,6,10,1993,30720.0,yes
34,no,travel_frequently,556.26,research & development,-29,1,,114,4,m,69.5325,2,2,manufacturing director,3,married,4492.84,11681.39,1,unknown,17,3.0,3,full time,0,10.0,2,2.0,10,1,9,1989,53914.08,false
51,no,travel_rarely,1288.65,research & development,8,4,life sciences,115,2,m,161.08125,2,3,research director,2,married,10408.33,27061.67,5,no,16,3.0,4,full time,2,16.0,5,1.0,10,4,7,1972,124900.0,0
34,no,non-travel,556.26,research & development,-39,4,life sciences,116,39,m,69.53,2,2,manufacturing director,1,unknown,4492.84,11681.39,6,unknown,13,3.0,2,part time,1,13.0,3,3.0,11,5,9,1989,53914.11,1
35,no,travel_rarely,827.46,sales,16,3,,117,3,m,103.4325,3,3,sales executive,2,married,6683.33,17376.67,0,unknown,15,3.0,3,part time,2,12.0,3,2.0,11,6,9,1988,80200.0,1
45,no,travel_frequently,1032.49,research & development,7,3,life sciences,118,1,m,129.06125,3,3,laboratory technician,1,unknown,8339.32,21682.23,1,unknown,18,3.0,1,part time,1,24.0,2,3.0,24,9,11,1978,100071.84,yes
39,no,non-travel,1760.98,unknown,10,1,,119,3,m,220.1225,3,4,manager,1,married,14223.333333333334,36980.67,1,unknown,14,,4,full time,0,21.0,3,3.0,21,11,10,1984,170680.0,yes
31,no,non-travel,922.69,research & development,7,2,,120,3,f,115.33625,2,3,manufacturing director,3,married,7452.5,19376.5,1,no,24,4.0,1,part time,1,10.0,2,3.0,10,8,9,1992,89430.0,false
39,no,non-travel,1988.38,unknown,7,2,,121,3,m,248.5475,2,5,manager,4,married,16060.0,41756.0,1,unknown,15,3.0,1,full time,1,,2,3.0,21,13,3,1984,192720.0,true
45,no,travel_rarely,556.26,research & development,8,4,,122,4,m,69.53,3,2,research scientist,4,unknown,4492.84,11681.39,9,no,14,3.0,1,part time,2,12.0,3,3.0,10,9,8,1978,53914.11,true
30,no,travel_rarely,556.26,sales,5,3,marketing,123,4,f,69.5325,2,2,sales executive,3,unknown,4492.84,11681.39,1,unknown,13,3.0,3,full time,3,10.0,2,3.0,10,1,2,1993,53914.08,yes
31,no,non-travel,1032.49,research & development,7,4,medical,124,3,f,129.06,3,3,manufacturing director,4,unknown,8339.32,21682.23,1,unknown,14,3.0,3,part time,0,11.0,2,2.0,11,4,10,1992,100071.84,false
36,no,non-travel,1032.49,sales,3,4,medical,125,1,m,129.06125,2,3,sales executive,4,married,8339.32,21682.23,4,no,11,3.0,1,part time,1,16.0,2,3.0,13,1,12,1987,100071.84,true
36,no,travel_rarely,1032.49,sales,2,2,,126,2,m,129.06125,2,3,sales executive,3,married,8339.32,21682.23,1,unknown,13,3.0,2,part time,2,10.0,2,3.0,10,9,0,1987,100071.84,true
55,no,travel_rarely,1582.77,unknown,18,5,,127,1,f,197.85,3,4,manager,2,single,12783.92,33238.2,3,no,23,4.0,4,full time,0,37.0,2,3.0,10,7,7,1968,153407.07,1
35,no,non-travel,556.26,sales,1,3,,128,2,m,69.5325,3,2,sales executive,3,unknown,4492.84,11681.39,9,unknown,11,3.0,3,part time,0,15.0,2,3.0,11,6,9,1988,53914.11,1
42,no,travel_rarely,1032.49,research & development,24,3,medical,129,4,m,129.06,3,3,manufacturing director,1,married,8339.32,21682.23,1,unknown,21,4.0,4,part time,1,10.0,5,2.0,10,5,8,1981,100071.84,false
52,no,travel_rarely,575.4,research & development,6,2,,130,4,m,71.93,3,2,research scientist,1,divorced,4647.5,12083.5,3,yes,12,,2,full time,2,18.0,3,3.0,10,6,9,1971,55770.0,yes
49,no,non-travel,1973.98,research & development,18,4,life sciences,131,4,m,246.75,2,5,research director,3,unknown,15943.718333333332,41453.67,1,yes,17,3.0,3,full time,1,,5,3.0,31,0,9,1974,191324.62,1
