age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
41,no,non-travel,2060.71,,7,1,,1,11,2,1,,1,5, research director ,3,,16644.17,43274.83,1,y,no,22,4.0,2,full time,2,,3,3.0,21,,5,10,16644.17,1982,199730.0,,,0
56,no,travel_rarely,1382.75,,23,3,life sciences,1,12,4,0,172.84,3,4, manufacturing director ,2,married,,29037.67,4,,yes,12,,1,full time,1,33.0,0,3.0,19,,15,9,,1967,134020.0,,,false
38,no,,1362.52,,10,3,medical,1,13,2,1,,1,3, research director ,3,married,,28613.0,3,y,no,12,3.0,1,full time,1,,3,3.0,18,,1,11,,1985,132060.0,,,1
41,yes,travel_rarely,2016.55,,12,3,,1,14,2,1,,3,5, research director ,3,married,,42347.5,1,,no,12,3.0,4,full time,0,,0,3.0,22,,15,8,,1982,195450.0,,,false
55,no,,1973.98,,14,4,medical,1,15,3,0,,4,5, research director ,2,single,15943.72,41453.67,8,,no,11,3.0,4,,0,,3,3.0,24,,2,15,15943.72,1968,,,,true
40,no,travel_rarely,1861.37,,2,4,,1,16,3,1,,3,5, manager ,3,,15034.17,39088.83,0,,no,14,3.0,4,full time,0,,2,3.0,20,,1,12,15034.17,1983,180410.0,,,0
58,yes,travel_rarely,1985.7,,2,4,,1,17,4,0,,3,5, research director ,2,single,16038.33,41699.67,7,y,yes,12,3.0,4,full time,0,40.0,2,3.0,31,,13,8,16038.33,1965,192460.0,,,0
46,no,travel_rarely,1582.77,,2,3,,1,18,3,1,,3,4, manager ,1,,12783.92,33238.2,8,,,23,4.0,1,,0,28.0,2,3.0,26,,15,9,12783.92,1977,,,,false
35,no,,556.26,,-13,5,life sciences,1,19,2,0,,4,2, research scientist ,1,married,4492.84,11681.39,1,,,11,3.0,4,,0,,2,3.0,16,,1,10,4492.84,1988,,,,false
40,no,travel_rarely,1032.49,,15,3,life sciences,1,20,1,1,,2,3, manufacturing director ,3,,8339.32,21682.23,1,y,,13,3.0,4,,2,18.0,2,,18,,14,12,8339.32,1983,,,,true
45,no,non-travel,1108.92, research & development ,1,1,,1,21,3,0,,2,3, healthcare representative ,3,,8956.67,23287.33,3,y,,23,4.0,4,full time,1,25.0,3,2.0,23,,14,4,8956.67,1978,107480.0, healthcare representative  -  research & development ,,false
33,no,,1032.49,,1,2,life sciences,1,22,1,1,,3,3, research director ,4,single,,21682.23,1,,yes,12,3.0,3,part time,0,15.0,1,3.0,15,,8,12,,1990,100071.84,,,true
36,no,,1032.49,,8,3,,1,23,3,1,,3,3, healthcare representative ,3,divorced,,21682.23,1,y,,13,,2,,3,17.0,2,3.0,17,,12,8,,1987,100071.84,,,1
47,no,,1728.38,,2,2,other,1,24,3,1,216.05,3,4, manager ,4,married,,36296.0,1,,,11,3.0,3,full time,1,,3,2.0,26,,3,0,,1976,167520.0,,,false
36,no,travel_rarely,639.79,,-42,2,life sciences,1,25,42,0,79.97,3,2, sales executive ,4,,5167.5,13435.5,1,y,,14,3.0,4,full time,1,18.0,1,,18,,4,11,5167.5,1987,62010.0,,,true
35,no,,1032.49,,9,3,life sciences,1,26,4,1,129.06,2,3, manufacturing director ,3,married,,21682.23,1,y,yes,20,4.0,2,part time,1,17.0,2,3.0,17,,5,15,,1988,100071.84,,,false
52,yes,,2047.5,,2,1,,1,27,1,1,,1,5, manager ,4,married,,42997.5,1,y,no,15,3.0,4,full time,1,33.0,3,3.0,32,,6,9,,1971,198450.0,,,1
36,no,,556.26,,2,4,life sciences,1,28,3,1,,3,2, manufacturing director ,2,single,4492.84,11681.39,9,y,yes,11,3.0,4,,0,18.0,2,3.0,16,,5,12,4492.84,1987,53914.11,,,0
33,no,travel_rarely,556.26,,28,4,life sciences,1,29,2,0,69.53,3,2, laboratory technician ,3,married,4492.84,11681.39,1,y,,12,3.0,2,part time,1,15.0,3,3.0,15,,5,7,4492.84,1990,53914.11,,,yes
34,no,non-travel,412.8, sales ,10,3,life sciences,1,30,4,0,,3,2, sales executive ,3,,3334.17,8668.83,1,y,yes,14,3.0,3,part time,1,15.0,3,3.0,15,,0,7,3334.17,1989,40010.0, sales executive  -  sales ,,1
41,no,,1077.87, sales ,-37,1,,1,31,37,1,,3,3, sales executive ,3,divorced,8705.83,22635.17,0,,,13,3.0,4,full time,1,,3,4.0,22,,13,5,8705.83,1982,104470.0, sales executive  -  sales ,,yes
forty-seven,no,,1032.49, research & development ,25,3,medical,1,32,1,0,,3,3, healthcare representative ,3,,8339.32,21682.23,2,,,23,4.0,2,,0,25.0,3,3.0,17,,12,11,8339.32,1976,, healthcare representative  -  research & development ,,yes
53,no,travel_rarely,1973.98,,5,3,,1,33,3,1,246.75,3,5, manager ,3,,15943.72,41453.67,4,,,11,3.0,4,full time,1,26.0,3,2.0,14,,4,8,15943.72,1970,191324.62,,,yes
35,no,,556.26,,1,4,marketing,1,34,3,0,69.53,2,2, sales executive ,1,single,4492.84,11681.39,0,y,no,14,,2,part time,0,16.0,2,3.0,15,,2,8,4492.84,1988,53914.11,,,0
34,no,travel_rarely,556.26,,6,4,other,1,35,1,1,,3,2, research scientist ,3,single,4492.84,11681.39,1,y,,14,3.0,3,,0,16.0,3,3.0,16,,2,10,4492.84,1989,,,,true
46,no,travel_rarely,1032.49,,1,2,,1,36,2,1,,3,3, sales executive ,1,divorced,8339.32,21682.23,1,,no,25,4.0,3,part time,3,24.0,2,3.0,24,,15,7,8339.32,1977,100071.84,,,yes
43,no,,1657.4,,16,3,,1,37,4,1,207.17,3,4, manager ,4,married,,34805.33,5,,,22,4.0,3,full time,1,22.0,3,3.0,17,,1,9,,1980,160640.0,,,1
36,no,,331.19, research & development ,6,3,life sciences,1,38,4,0,,3,1, laboratory technician ,4,married,2675.0,6955.0,0,,,11,3.0,3,full time,1,16.0,4,3.0,15,,10,11,2675.0,1987,32100.0, laboratory technician  -  research & development ,,true
60,no,travel_frequently,1059.19,,28,3,,1,39,3,1,,2,3, sales executive ,1,married,8555.0,22243.0,4,y,no,19,3.0,4,full time,0,22.0,5,4.0,18,13.0,13,11,8555.0,1963,102660.0,,,1
40,no,travel_frequently,1080.75,,5,4,,1,40,4,0,,2,3, sales executive ,1,married,8729.17,22695.83,5,,yes,21,4.0,3,full time,1,20.0,2,3.0,18,,1,12,8729.17,1983,104750.0,,,0
32,no,travel_rarely,635.76,,4,3,,1,41,3,1,,2,2, manufacturing director ,3,married,,13351.0,1,y,no,12,3.0,3,full time,1,14.0,3,3.0,14,,6,8,,1991,61620.0,,,0
41,no,travel_rarely,487.09,,-35,3,,1,42,35,0,60.89,3,1, laboratory technician ,1,single,3934.17,10228.83,2,,yes,13,,3,full time,0,20.0,3,3.0,18,,2,17,3934.17,1982,47210.0,,,1
53,no,,1582.77,,2,2,medical,1,43,3,0,,3,4, manager ,3,divorced,12783.92,33238.2,6,,no,13,3.0,3,full time,1,22.0,3,4.0,17,,15,2,12783.92,1970,153407.07,,,false
36,yes,travel_rarely,290.04,,16,4,,1,44,3,1,36.25,4,1, laboratory technician ,1,single,,6090.75,1,y,,16,3.0,3,part time,0,18.0,1,3.0,17,,15,14,,1987,28111.13,,,yes
46,no,,476.15,,8,4,life sciences,1,45,4,1,,2,2, research scientist ,1,divorced,3845.83,9999.17,8,,yes,23,4.0,1,part time,3,,2,3.0,16,,1,7,3845.83,1977,46150.0,,,0
38,no,travel_rarely,556.26,,1,4,,1,46,4,0,,3,2, sales executive ,2,married,4492.84,11681.39,0,,no,15,3.0,1,,2,16.0,3,,15,,5,8,4492.84,1985,53914.11,,,1
51,no,,1032.49,,1,4,,1,47,1,1,,2,3, healthcare representative ,1,single,8339.32,21682.23,3,,,20,4.0,3,part time,0,23.0,1,2.0,13,,12,8,8339.32,1972,100071.84,,,true
43,no,,1749.74,,26,2,,1,48,3,0,,3,4, manager ,4,married,14132.5,36744.5,1,,yes,12,3.0,4,full time,2,25.0,3,4.0,25,,4,12,14132.5,1980,169590.0,,,1
37,no,,290.04,,1,3,life sciences,1,49,4,1,,3,1, research scientist ,4,single,,6090.75,1,,no,12,3.0,2,part time,0,,3,3.0,17,,5,7,,1986,28111.13,,,yes
32,no,travel_rarely,556.26,,8,2,technical degree,1,50,3,1,,2,2, sales executive ,2,married,,11681.39,1,,yes,11,3.0,4,part time,0,,2,3.0,13,12.0,11,9,,1991,53914.11,,,true
38,no,,1032.49,,1,3,,1,51,4,1,,3,3, research director ,1,married,8339.32,21682.23,1,,,13,3.0,2,part time,1,15.0,3,3.0,15,,5,11,8339.32,1985,100071.84,,,false
46,no,,1582.77,,3,3,life sciences,1,52,3,1,,3,4, manager ,2,,12783.92,33238.2,8,,no,12,3.0,4,full time,1,23.0,2,4.0,13,,5,1,12783.92,1977,153407.07,,,yes
35,yes,travel_rarely,1063.32,,10,3,medical,1,53,4,0,,2,3, sales executive ,1,married,8588.33,22329.67,9,,,17,3.0,3,,0,15.0,3,,13,,6,0,8588.33,1988,,,,0
43,no,,1973.98,,6,3,medical,1,54,1,1,,2,5, manager ,3,married,15943.72,41453.67,7,,no,13,3.0,4,,0,21.0,2,3.0,16,,6,14,15943.72,1980,,,,yes
56,no,non-travel,556.26,,1,4,life sciences,1,55,3,0,,3,2, healthcare representative ,3,divorced,4492.84,11681.39,1,y,no,21,,1,,1,,2,2.0,13,,1,9,4492.84,1967,,,,yes
36,no,non-travel,557.76,,15,4,marketing,1,56,4,0,,1,2, sales executive ,4,divorced,4505.0,11713.0,1,y,no,24,4.0,1,full time,1,,4,2.0,15,,11,11,4505.0,1987,54060.0,,,1
38,no,,556.26,,6,3,medical,1,57,2,1,,1,2, research scientist ,4,,,11681.39,7,y,,12,3.0,4,part time,3,17.0,3,3.0,13,,1,9,,1985,53914.11,,,yes
49,no,,556.26,,-26,4,medical,1,58,3,1,69.53,3,2, manufacturing director ,1,,,11681.39,1,,no,14,3.0,3,part time,0,16.0,2,2.0,15,,5,11,,1974,53914.11,,,0
39,no,travel_rarely,608.94,,4,4,life sciences,1,59,4,1,,2,2, sales executive ,3,married,4918.33,12787.67,4,,,14,3.0,3,full time,1,17.0,1,4.0,15,,5,9,4918.33,1984,59020.0,,,yes
40,no,,1119.96,,4,4,,1,60,3,0,140.0,2,3, sales executive ,4,married,,23519.17,7,y,no,11,,1,full time,1,15.0,2,2.0,12,,2,11,,1983,108550.0,,,yes
36,no,,610.17,,5,2,,1,61,4,0,,3,2, laboratory technician ,2,single,4928.33,12813.67,8,y,no,16,3.0,4,full time,0,16.0,3,4.0,13,,3,7,4928.33,1987,59140.0,,,1
37,no,,556.26,,25,5,,1,62,2,1,,3,2, research scientist ,3,married,,11681.39,3,y,yes,15,3.0,1,,2,15.0,2,3.0,13,,10,7,,1986,53914.11,,,0
35,no,,685.7,,6,4,,1,63,2,0,,1,2, research scientist ,4,,5538.33,14399.67,1,y,,13,3.0,2,full time,0,,3,3.0,17,,11,8,5538.33,1988,66460.0,,,yes
33,no,travel_frequently,556.26,,6,3,life sciences,1,64,3,0,,3,2, healthcare representative ,4,divorced,4492.84,11681.39,3,,no,23,4.0,3,part time,1,15.0,2,1.0,13,,4,7,4492.84,1990,53914.11,,,false
50,no,travel_rarely,1441.66, research & development ,24,3,,1,65,4,0,,3,4, manufacturing director ,3,married,,30274.83,3,,yes,18,3.0,4,full time,1,22.0,2,3.0,12,,1,5,,1973,139730.0, manufacturing director  -  research & development ,,false
48,no,travel_rarely,1032.49,,4,4,,1,66,3,0,,2,3, healthcare representative ,3,single,,21682.23,7,,,14,,2,part time,0,27.0,3,3.0,15,11.0,4,8,,1975,100071.84,,,yes
44,no,travel_rarely,1374.29, sales ,28,3,,1,67,4,1,,4,4, sales executive ,4,married,11100.0,28860.0,3,,,18,3.0,3,,1,,2,3.0,12,,11,11,11100.0,1979,, sales executive  -  sales ,,1
44,no,travel_rarely,556.26,,29,4,,1,68,4,0,69.53,3,2, research scientist ,4,single,,11681.39,1,y,,25,4.0,2,part time,0,,3,3.0,20,,13,17,,1979,53914.11,,,yes
40,no,,556.26,,-25,1,,1,69,25,1,,4,2, healthcare representative ,3,,,11681.39,5,,no,20,4.0,2,part time,3,15.0,0,3.0,12,,11,8,,1983,53914.11,,,true
34,no,travel_rarely,689.93,,2,4,,1,70,3,1,86.24,3,2, healthcare representative ,4,single,5572.5,14488.5,1,,,11,3.0,4,full time,0,14.0,2,4.0,14,,4,11,5572.5,1989,66870.0,,,true
35,no,non-travel,556.26, research & development ,8,4,,1,71,3,1,,3,2, healthcare representative ,3,,4492.84,11681.39,1,,,12,3.0,4,part time,1,,5,3.0,14,,2,9,4492.84,1988,53914.11, healthcare representative  -  research & development ,,true
50,no,,1032.49,,17,5,life sciences,1,72,4,1,,2,3, research director ,1,,,21682.23,5,,no,15,3.0,3,part time,3,,3,3.0,14,11.0,1,11,,1973,100071.84,,,0
49,no,,1582.77,,6,1,life sciences,1,73,3,1,197.85,2,4, healthcare representative ,3,,12783.92,33238.2,2,,,19,3.0,2,full time,1,,3,3.0,15,,2,12,12783.92,1974,153407.07,,,yes
38,no,travel_frequently,488.53,,1,3,life sciences,1,74,4,0,61.07,3,2, research scientist ,4,,,10259.17,7,y,no,15,3.0,4,part time,2,19.0,4,,13,,2,9,,1985,47350.0,,,true
33,no,,290.04,,21,3,,1,75,2,0,,4,1, laboratory technician ,2,,,6090.75,1,,no,18,3.0,4,part time,3,14.0,6,,14,,2,13,,1990,28111.13,,,true
47,no,travel_rarely,1032.49,,4,3,life sciences,1,76,3,1,,2,3, manufacturing director ,2,divorced,8339.32,21682.23,8,,yes,12,,3,part time,1,,4,3.0,22,,14,10,8339.32,1976,100071.84,,,yes
38,no,,556.26, research & development ,8,3,,1,77,4,1,,2,2, research scientist ,2,divorced,4492.84,11681.39,1,,,16,3.0,3,,1,20.0,3,3.0,20,,0,7,4492.84,1985,, research scientist  -  research & development ,,0
37,no,travel_rarely,1032.49,,10,3,life sciences,1,78,3,1,,4,3, research director ,4,,8339.32,21682.23,1,,yes,25,4.0,1,part time,1,16.0,2,3.0,16,,6,8,8339.32,1986,100071.84,,,yes
30,no,,556.26,,2,3,,1,79,3,0,,2,2, healthcare representative ,4,married,,11681.39,1,,no,19,,1,part time,3,11.0,3,3.0,11,,10,8,,1993,53914.11,,,yes
fifty-eight,no,travel_rarely,1431.24,,-18,4,,1,80,4,0,,3,4, sales executive ,3,single,11560.0,30056.0,0,,,13,3.0,3,full time,0,38.0,1,2.0,37,,1,8,11560.0,1965,138720.0,,,1
34,no,travel_rarely,1032.49,,5,3,,1,81,3,1,,2,3, manager ,1,single,8339.32,21682.23,2,,,12,3.0,4,,0,14.0,6,3.0,11,,5,8,8339.32,1989,,,,0
58,yes,travel_rarely,1032.49,,23,4,medical,1,82,4,1,,3,3, healthcare representative ,4,married,8339.32,21682.23,1,,,12,3.0,4,part time,1,40.0,3,2.0,40,,15,6,8339.32,1965,100071.84,,,yes
38,no,,1032.49,,3,3,life sciences,1,83,1,0,,3,3, sales executive ,3,divorced,8339.32,21682.23,0,y,,12,3.0,3,,2,,6,2.0,16,,5,13,8339.32,1985,,,,1
29,no,travel_frequently,1032.49,,1,1,,1,84,2,1,,3,3, sales executive ,4,married,8339.32,21682.23,1,y,,14,3.0,4,part time,1,11.0,5,3.0,11,,4,1,8339.32,1994,100071.84,,,true
55,no,travel_rarely,1964.96,,1,3,medical,1,85,4,0,245.62,3,5, manager ,1,single,15870.83,41264.17,0,y,,14,3.0,3,full time,0,37.0,2,3.0,36,,4,13,15870.83,1968,190450.0,,,1
41,no,,1652.34,,-10,4,,1,86,4,0,,3,4, manager ,2,,13345.83,34699.17,1,,,19,3.0,2,,0,,2,3.0,22,,0,4,13345.83,1982,,,,yes
39,no,travel_rarely,991.82, research & development ,1,3,,1,87,3,0,123.98,4,3, healthcare representative ,4,,8010.83,20828.17,0,,no,17,,1,part time,3,19.0,5,2.0,18,,3,7,8010.83,1984,96130.0, healthcare representative  -  research & development ,,0
38,no,,1187.54,,15,2,life sciences,1,88,3,0,148.44,2,3, research director ,4,,,24938.33,0,,,14,3.0,2,full time,1,,3,3.0,11,,2,9,,1985,115100.0,,,1
43,no,,1582.77,,12,3,,1,89,1,0,,2,4, research director ,2,,12783.92,33238.2,1,,no,11,3.0,3,full time,1,,3,,25,,3,9,12783.92,1980,153407.07,,,true
31,no,,444.27,,-30,2,,1,90,2,1,,3,2, manufacturing director ,1,married,3588.33,9329.67,1,,no,12,3.0,2,,1,13.0,5,1.0,13,,3,12,3588.33,1992,,,,yes
50,no,travel_rarely,1758.71, research & development ,-27,4,life sciences,1,91,27,0,,2,4, manager ,3,married,14205.0,36933.0,0,y,no,15,3.0,2,full time,1,28.0,2,3.0,27,,15,7,14205.0,1973,170460.0, manager  -  research & development ,,true
35,no,,1032.49,,25,3,technical degree,1,92,4,0,129.06,2,3, manufacturing director ,2,married,8339.32,21682.23,3,y,no,16,,1,part time,0,,2,3.0,13,,4,8,8339.32,1988,100071.84,,,0
47,no,,522.79,,16,4,,1,93,3,0,,4,2, manufacturing director ,3,,4222.5,10978.5,1,,yes,19,3.0,3,,0,20.0,3,,19,,2,7,4222.5,1976,,,,yes
35,no,,1032.49, research & development ,25,4,,1,94,3,1,129.06,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,,yes,11,,3,part time,1,,3,2.0,16,,10,1,8339.32,1988,100071.84, healthcare representative  -  research & development ,,1
40,no,travel_rarely,1032.49,,20,4,,1,95,1,0,129.06,3,3, healthcare representative ,4,married,,21682.23,4,y,,20,4.0,4,part time,1,14.0,6,3.0,11,,11,1,,1983,100071.84,,,1
45,no,,556.26, sales ,9,4,life sciences,1,96,2,1,,2,2, sales executive ,3,married,4492.84,11681.39,1,y,,13,3.0,4,part time,1,15.0,2,3.0,15,,4,12,4492.84,1978,53914.11, sales executive  -  sales ,,0
33,no,,290.04, research & development ,9,3,medical,1,97,1,0,,3,1, research scientist ,4,married,,6090.75,0,y,,13,3.0,2,,1,15.0,5,3.0,14,,4,10,,1990,28111.13, research scientist  -  research & development ,,false
36,no,travel_frequently,380.92,,3,3,,1,98,3,0,,3,1, research scientist ,2,married,3076.67,7999.33,1,y,no,12,3.0,3,full time,0,12.0,2,2.0,11,,0,7,3076.67,1987,36920.0,,,false
45,yes,,1973.98,,-13,3,marketing,1,99,1,1,246.75,1,5, manager ,2,,15943.72,41453.67,2,,yes,16,3.0,1,full time,0,26.0,2,3.0,24,,1,11,15943.72,1978,191324.62,,,true
51,no,travel_frequently,2047.71,,-27,3,,1,100,27,0,255.96,3,5, manager ,2,,,43001.83,4,,yes,24,,1,full time,1,,5,2.0,29,,11,10,,1972,198470.0,,,0
34,no,travel_rarely,238.13,,7,2,technical degree,1,101,2,0,,3,1, sales representative ,3,,,5000.67,0,,yes,25,4.0,2,part time,1,12.0,4,3.0,11,,5,7,,1989,23080.0,,,0
43,no,travel_rarely,1582.77, research & development ,15,2,,1,102,3,0,,2,4, research director ,3,,,33238.2,1,,no,24,4.0,1,full time,1,,3,3.0,14,,6,11,,1980,153407.07, research director  -  research & development ,,1
34,no,,556.26,,5,2,medical,1,103,2,0,,2,2, laboratory technician ,4,,4492.84,11681.39,1,y,no,14,3.0,3,part time,1,,3,,15,,4,13,4492.84,1989,53914.11,,,0
38,no,,290.04,,2,3,,1,104,1,0,,3,1, human resources ,2,divorced,2342.59,6090.75,5,,no,13,3.0,4,part time,3,13.0,3,3.0,11,,3,8,2342.59,1985,28111.13,,,1
48,no,,1973.98,,10,3,,1,105,4,0,,2,5, research director ,2,,,41453.67,4,y,no,12,3.0,4,full time,0,29.0,3,3.0,22,,12,9,,1975,191324.62,,,0
34,no,,592.94, research & development ,22,4,other,1,106,3,0,,2,2, research scientist ,4,married,4789.17,12451.83,1,,yes,15,3.0,2,full time,0,16.0,3,3.0,15,,6,11,4789.17,1989,57470.0, research scientist  -  research & development ,,false
32,no,travel_rarely,1075.29,,-31,4,,1,107,31,1,134.41,3,3, sales executive ,4,,8685.0,22581.0,1,y,no,19,3.0,3,full time,2,14.0,3,3.0,14,,5,7,8685.0,1991,104220.0,,,yes
29,no,travel_rarely,1032.49,,21,4,life sciences,1,108,2,1,,4,3, manufacturing director ,1,divorced,8339.32,21682.23,1,y,no,11,3.0,3,,1,10.0,1,3.0,10,,8,8,8339.32,1994,,,,0
46,no,,1032.49,,1,3,medical,1,109,3,0,,2,3, healthcare representative ,1,married,,21682.23,2,,yes,13,3.0,3,,1,21.0,5,2.0,10,,9,5,,1977,100071.84,,,false
30,no,,654.85, human resources ,9,3,,1,110,3,0,,3,2, human resources ,4,married,5289.17,13751.83,0,,yes,19,3.0,4,full time,0,,2,1.0,11,,4,7,5289.17,1993,63470.0, human resources  -  human resources ,,0
45,no,,242.25,,9,3,life sciences,1,111,2,0,,3,2, laboratory technician ,2,,1956.67,5087.33,8,y,no,18,3.0,3,part time,1,20.0,2,,17,,0,15,1956.67,1978,23480.0,,,yes
30,no,travel_rarely,1032.49,,5,3,,1,112,2,1,129.06,3,3, sales executive ,4,,8339.32,21682.23,2,y,no,12,3.0,3,part time,1,,2,3.0,10,,7,4,8339.32,1993,100071.84,,,true
30,no,,316.95,,9,3,,1,113,3,0,,3,2, laboratory technician ,1,,,6656.0,1,y,no,11,,3,part time,2,12.0,4,3.0,12,,6,10,,1993,30720.0,,,yes
34,no,travel_frequently,556.26,,-29,1,,1,114,4,0,,2,2, manufacturing director ,3,married,4492.84,11681.39,1,,,17,3.0,3,,0,10.0,2,2.0,10,,1,9,4492.84,1989,,,,false
51,no,travel_rarely,1288.65,,8,4,life sciences,1,115,2,0,,2,3, research director ,2,married,10408.33,27061.67,5,,no,16,3.0,4,full time,2,16.0,5,1.0,10,,4,7,10408.33,1972,124900.0,,,0
34,no,,556.26,,-39,4,life sciences,1,116,39,0,69.53,2,2, manufacturing director ,1,,4492.84,11681.39,6,,,13,3.0,2,part time,1,13.0,3,3.0,11,,5,9,4492.84,1989,53914.11,,,1
35,no,travel_rarely,827.46,,16,3,,1,117,3,0,,3,3, sales executive ,2,married,6683.33,17376.67,0,y,,15,3.0,3,part time,2,12.0,3,2.0,11,,6,9,6683.33,1988,80200.0,,,1
45,no,travel_frequently,1032.49,,7,3,life sciences,1,118,1,0,,3,3, laboratory technician ,1,,8339.32,21682.23,1,y,,18,3.0,1,part time,1,24.0,2,3.0,24,,9,11,8339.32,1978,100071.84,,,yes
39,no,,1760.98,,10,1,,1,119,3,0,,3,4, manager ,1,married,,36980.67,1,,,14,,4,full time,0,21.0,3,3.0,21,,11,10,,1984,170680.0,,,yes
31,no,,922.69,,7,2,,1,120,3,1,,2,3, manufacturing director ,3,married,7452.5,19376.5,1,,no,24,4.0,1,part time,1,10.0,2,3.0,10,,8,9,7452.5,1992,89430.0,,,false
39,no,,1988.38, research & development ,7,2,,1,121,3,0,,2,5, manager ,4,married,16060.0,41756.0,1,y,,15,3.0,1,full time,1,,2,3.0,21,,13,3,16060.0,1984,192720.0, manager  -  research & development ,,true
45,no,travel_rarely,556.26,,8,4,,1,122,4,0,69.53,3,2, research scientist ,4,,4492.84,11681.39,9,y,no,14,3.0,1,part time,2,12.0,3,3.0,10,,9,8,4492.84,1978,53914.11,,,true
30,no,travel_rarely,556.26, sales ,5,3,marketing,1,123,4,1,,2,2, sales executive ,3,,4492.84,11681.39,1,,,13,3.0,3,,3,10.0,2,3.0,10,,1,2,4492.84,1993,, sales executive  -  sales ,,yes
31,no,,1032.49,,7,4,medical,1,124,3,1,129.06,3,3, manufacturing director ,4,,8339.32,21682.23,1,y,,14,3.0,3,part time,0,11.0,2,2.0,11,,4,10,8339.32,1992,100071.84,,,false
36,no,,1032.49,,3,4,medical,1,125,1,0,,2,3, sales executive ,4,married,8339.32,21682.23,4,y,no,11,3.0,1,part time,1,16.0,2,3.0,13,,1,12,8339.32,1987,100071.84,,,true
36,no,travel_rarely,1032.49,,2,2,,1,126,2,0,,2,3, sales executive ,3,married,,21682.23,1,,,13,3.0,2,part time,2,10.0,2,3.0,10,,9,0,,1987,100071.84,,,true
55,no,travel_rarely,1582.77,,18,5,,1,127,1,1,197.85,3,4, manager ,2,single,12783.92,33238.2,3,y,no,23,4.0,4,full time,0,37.0,2,3.0,10,,7,7,12783.92,1968,153407.07,,,1
35,no,,556.26,,1,3,,1,128,2,0,,3,2, sales executive ,3,,4492.84,11681.39,9,y,,11,3.0,3,part time,0,15.0,2,3.0,11,,6,9,4492.84,1988,53914.11,,,1
42,no,travel_rarely,1032.49,,24,3,medical,1,129,4,0,129.06,3,3, manufacturing director ,1,married,8339.32,21682.23,1,,,21,4.0,4,part time,1,10.0,5,2.0,10,,5,8,8339.32,1981,100071.84,,,false
